datetime,open,high,low,close,volume
2020-08-03 09:15:00,11057.55,11058.05,10882.25,10891.6,680929001.0
2020-08-04 09:15:00,10946.65,11112.25,10908.1,11095.25,625737990.0
2020-08-05 09:15:00,11155.75,11225.65,11064.05,11101.65,667639022.0
2020-08-06 09:15:00,11185.7,11256.8,11127.3,11200.15,600374968.0
2020-08-07 09:15:00,11186.65,11231.9,11142.05,11214.05,452629987.0
2020-08-10 09:15:00,11270.25,11337.3,11238.0,11270.15,491999986.0
2020-08-11 09:15:00,11322.25,11373.6,11299.15,11322.5,586084975.0
2020-08-12 09:15:00,11289.0,11322.0,11242.65,11308.4,609859011.0
2020-08-13 09:15:00,11334.85,11359.3,11269.95,11300.45,562354979.0
2020-08-14 09:15:00,11353.3,11366.25,11111.45,11178.4,645109973.0
2020-08-17 09:15:00,11248.9,11267.1,11144.5,11247.1,633964003.0
2020-08-18 09:15:00,11259.8,11401.7,11253.15,11385.35,579241968.0
2020-08-19 09:15:00,11452.15,11460.35,11394.1,11408.4,626217976.0
2020-08-20 09:15:00,11317.45,11361.45,11289.8,11312.2,791587979.0
2020-08-21 09:15:00,11409.65,11418.5,11362.2,11371.6,668718989.0
2020-08-24 09:15:00,11412.0,11497.25,11410.65,11466.45,532901003.0
2020-08-25 09:15:00,11513.1,11525.9,11423.35,11472.25,638152999.0
2020-08-26 09:15:00,11512.85,11561.75,11461.85,11549.6,743443005.0
2020-08-27 09:15:00,11609.3,11617.35,11540.6,11559.25,719775990.0
2020-08-28 09:15:00,11602.95,11686.05,11589.4,11647.6,806997983.0
2020-08-31 09:15:00,11777.55,11794.25,11325.85,11387.5,1371788935.0
2020-09-01 09:15:00,11464.3,11553.55,11366.9,11470.25,783769993.0
2020-09-02 09:15:00,11478.55,11554.75,11430.4,11535.0,593494016.0
2020-09-03 09:15:00,11566.2,11584.95,11507.65,11527.45,607115018.0
2020-09-04 09:15:00,11354.4,11452.05,11303.65,11333.85,681338995.0
2020-09-07 09:15:00,11359.6,11381.15,11251.7,11355.05,560322970.0
2020-09-08 09:15:00,11378.55,11437.25,11290.45,11317.35,572238987.0
2020-09-09 09:15:00,11218.6,11298.15,11185.15,11278.0,728880972.0
2020-09-10 09:15:00,11363.3,11464.05,11327.4,11449.25,679419970.0
2020-09-11 09:15:00,11447.8,11493.5,11419.9,11464.45,554788979.0
2020-09-14 09:15:00,11540.15,11568.9,11383.55,11440.05,642269970.0
2020-09-15 09:15:00,11487.2,11535.95,11442.25,11521.8,506667008.0
2020-09-16 09:15:00,11538.45,11618.1,11516.75,11604.55,527804989.0
2020-09-17 09:15:00,11539.4,11587.2,11498.5,11516.1,517728993.0
2020-09-18 09:15:00,11584.1,11584.1,11446.1,11504.95,764154020.0
2020-09-21 09:15:00,11503.8,11535.25,11218.5,11250.55,602852033.0
2020-09-22 09:15:00,11301.75,11302.2,11084.65,11153.65,672250003.0
2020-09-23 09:15:00,11258.75,11259.55,11024.4,11131.85,714925998.0
2020-09-24 09:15:00,11011.0,11015.3,10790.2,10805.55,706139980.0
2020-09-25 09:15:00,10910.4,11072.6,10854.85,11050.25,559597027.0
2020-09-28 09:15:00,11140.85,11239.35,11099.85,11227.55,472776999.0
2020-09-29 09:15:00,11288.6,11305.4,11181.0,11222.4,498295996.0
2020-09-30 09:15:00,11244.45,11295.4,11184.55,11247.55,499344015.0
2020-10-01 09:15:00,11364.45,11428.6,11347.05,11416.95,447739986.0
2020-10-05 09:15:00,11487.8,11578.05,11452.3,11503.35,530596987.0
2020-10-06 09:15:00,11603.45,11680.3,11564.3,11662.4,561445011.0
2020-10-07 09:15:00,11679.25,11763.05,11629.35,11738.85,513367998.0
2020-10-08 09:15:00,11835.4,11905.7,11791.15,11834.6,608769016.0
2020-10-09 09:15:00,11852.05,11938.6,11805.2,11914.2,611079029.0
2020-10-12 09:15:00,11973.55,12022.05,11867.2,11930.95,522628006.0
2020-10-13 09:15:00,11934.65,11988.2,11888.9,11934.5,458305012.0
